Timestamp	Side	Symbol	Price	Qty	PnL
PAPER-1772206434,SENSEX 05MAR 82000 PE,"BB8, Green",448.0,422.3,900,10,2026-02-27 21:03:54.052620,2026-02-27 21:03:54.184655,-231299.99999999988
PAPER-1772206434,SENSEX 05MAR 82000 PE,"BB8, CBB0, CBB1, CBB2, CBB5, CBB7, Green",448.0,420.85,900,10,2026-02-27 21:03:54.186193,2026-02-27 21:03:54.318776,-244349.9999999998
PAPER-1772206434,SENSEX 05MAR 82000 PE,"BB8, CBB0, CBB1, CBB2, CBB5, CBB7, Green",448.0,420.75,900,10,2026-02-27 21:03:54.320161,2026-02-27 21:03:54.452377,-245250.0
PAPER-1772206438,SENSEX 05MAR 82000 PE,"NRCB, BB12",285.0,278.9,900,10,2026-02-27 21:03:58.275462,2026-02-27 21:03:59.352613,-54900.000000000204
PAPER-1772206442,SENSEX 05MAR 82000 PE,"BB17, CBB0, Green",295.0,286.85,900,10,2026-02-27 21:04:02.462295,2026-02-27 21:04:03.286533,-73349.9999999998
PAPER-1772206444,SENSEX 05MAR 82000 PE,"BB12, CBB0, CBB4",295.0,300.5,900,10,2026-02-27 21:04:04.522480,2026-02-27 21:04:05.654243,49500.0
PAPER-1772206446,SENSEX 05MAR 82000 PE,"BB12, CBB0, CBB6, CBB7",322.7,352.45,900,10,2026-02-27 21:04:06.484451,2026-02-27 21:04:07.600200,267750.0
PAPER-1772206452,SENSEX 05MAR 82000 PE,"BB12, CBB0, CBB6, CBB7",330.35,327.25,900,10,2026-02-27 21:04:12.081630,2026-02-27 21:04:13.941656,-27900.000000000204
PAPER-1772206453,SENSEX 05MAR 82000 PE,"BB17, Green",341.9,331.1,900,10,2026-02-27 21:04:13.944084,2026-02-27 21:04:14.087862,-97199.99999999959
PAPER-1772206454,SENSEX 05MAR 82000 PE,"BB17, Green",341.9,326.0,900,10,2026-02-27 21:04:14.233433,2026-02-27 21:04:14.377806,-143099.9999999998
PAPER-1772206454,SENSEX 05MAR 82000 PE,"BB17, Green",341.9,330.3,900,10,2026-02-27 21:04:14.379173,2026-02-27 21:04:14.523170,-104399.9999999997
PAPER-1772206455,SENSEX 05MAR 82000 PE,"CBBR3, CBBR6",345.75,345.7,900,10,2026-02-27 21:04:15.530214,2026-02-27 21:04:15.674779,-450.0000000001023
PAPER-1772206457,SENSEX 05MAR 82000 PE,"BB8, CBB0, CBB8",337.75,327.85,900,10,2026-02-27 21:04:17.262422,2026-02-27 21:04:17.554133,-89099.9999999998
PAPER-1772206460,SENSEX 05MAR 82000 PE,"BB13, Green",334.0,339.1,900,10,2026-02-27 21:04:20.506094,2026-02-27 21:04:21.839222,45900.000000000204
PAPER-1772206463,SENSEX 05MAR 82000 PE,NRCB,323.5,345.05,900,10,2026-02-27 21:04:23.625934,2026-02-27 21:04:25.288550,193950.00000000012
PAPER-1772206466,SENSEX 05MAR 82000 PE,CBBR2,342.0,331.85,900,10,2026-02-27 21:04:26.496922,2026-02-27 21:04:27.256837,-91349.9999999998
PAPER-1772206473,SENSEX 05MAR 82000 PE,"BB1, BB12, BB17, CBB0, CBB1, CBB3, CBB4, Green",346.9,344.0,900,10,2026-02-27 21:04:33.268346,2026-02-27 21:04:34.218527,-26099.999999999796
PAPER-1772206479,SENSEX 05MAR 82000 PE,"NRCB, BB12",324.05,315.15,900,10,2026-02-27 21:04:39.921748,2026-02-27 21:04:40.082052,-80100.0000000003
PAPER-1772206481,SENSEX 05MAR 82000 PE,"BB1, BB17, Green",316.05,306.7,900,10,2026-02-27 21:04:41.712014,2026-02-27 21:04:42.512591,-84150.0000000002
PAPER-1772206484,SENSEX 05MAR 82000 PE,NRCB,307.9,293.15,900,10,2026-02-27 21:04:44.122567,2026-02-27 21:04:44.936595,-132750.0
PAPER-1772206485,SENSEX 05MAR 82000 PE,"BB12, BB13, Green",309.0,298.7,900,10,2026-02-27 21:04:45.908801,2026-02-27 21:04:46.400029,-92700.0000000001
PAPER-1772206486,SENSEX 05MAR 82000 PE,"BB13, Green",310.25,300.0,900,10,2026-02-27 21:04:46.401407,2026-02-27 21:04:46.726552,-92250.0
PAPER-1772206487,SENSEX 05MAR 82000 PE,"BB1, BB12, BB17, CBB0, CBB4, Green",354.6,338.25,900,10,2026-02-27 21:04:47.380603,2026-02-27 21:04:47.545099,-147150.0000000002
PAPER-1772206487,SENSEX 05MAR 82000 PE,"BB1, BB12, CBB0, CBB4",354.6,346.95,900,10,2026-02-27 21:04:47.546474,2026-02-27 21:04:47.710941,-68850.0000000003
PAPER-1772206487,SENSEX 05MAR 82000 PE,"BB1, BB12, BB17, CBB0, CBB4, Green",354.6,381.55,900,10,2026-02-27 21:04:47.712241,2026-02-27 21:04:48.859904,242549.99999999988
PAPER-1772206496,SENSEX 05MAR 82000 PE,"CBBR1, CBBR2, CBBR7",436.1,446.9,900,10,2026-02-27 21:04:56.489404,2026-02-27 21:04:58.004635,97199.99999999959
