id,dispName,excToken,lot,tick,asset,freezeQty,weekly,undId
OPTIDX_BANKEX_BFO_2026-02-26_59200_PE,BANKEX 26FEB 59200 PE,1170629,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59300_CE,BANKEX 26FEB 59300 CE,1170777,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59300_PE,BANKEX 26FEB 59300 PE,1170754,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59400_CE,BANKEX 26FEB 59400 CE,1163143,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59400_PE,BANKEX 26FEB 59400 PE,1164747,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59500_CE,BANKEX 26FEB 59500 CE,1168751,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59500_PE,BANKEX 26FEB 59500 PE,1162875,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59600_CE,BANKEX 26FEB 59600 CE,1163634,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59600_PE,BANKEX 26FEB 59600 PE,1165258,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59700_CE,BANKEX 26FEB 59700 CE,1161760,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59700_PE,BANKEX 26FEB 59700 PE,1163394,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59800_CE,BANKEX 26FEB 59800 CE,1164131,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59800_PE,BANKEX 26FEB 59800 PE,1168981,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59900_CE,BANKEX 26FEB 59900 CE,1162216,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59900_PE,BANKEX 26FEB 59900 PE,1163869,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60000_CE,BANKEX 26FEB 60000 CE,1168120,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60000_PE,BANKEX 26FEB 60000 PE,1162219,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60100_CE,BANKEX 26FEB 60100 CE,1162966,30,0.05,option,900,,IDX_-94_BSE
