trade_id,symbol,buy_reason,entry_price,exit_price,quantity,lot_size,entry_time,exit_time,realized_pnl
PAPER-1772357975,SENSEX 05MAR 81200 PE,"BB17, CBB0, Green",234.1,221.0,900,10,2026-03-01 15:09:35.555621,2026-03-01 15:09:35.655967,-117899.99999999994
PAPER-1772357977,SENSEX 05MAR 81200 PE,"NRCB, BB1, BB9",218.85,217.7,900,10,2026-03-01 15:09:37.937663,2026-03-01 15:09:38.450577,-10350.000000000051
PAPER-1772357978,SENSEX 05MAR 81200 PE,"BB12, BB17, CBB0, Green",222.4,216.7,900,10,2026-03-01 15:09:38.657319,2026-03-01 15:09:38.865378,-51300.00000000015
PAPER-1772357980,SENSEX 05MAR 81200 PE,"NRCB, BB5, BB12, CBB0, CBB1, CBB2, CBB7",199.05,190.0,900,10,2026-03-01 15:09:40.636007,2026-03-01 15:09:40.742345,-81450.0000000001
PAPER-1772357980,SENSEX 05MAR 81200 PE,"NRCB, BB5, BB12, CBB0, CBB1, CBB2, CBB7",199.05,194.9,900,10,2026-03-01 15:09:40.745420,2026-03-01 15:09:40.850575,-37350.00000000005
PAPER-1772357980,SENSEX 05MAR 81200 PE,"NRCB, BB5, BB12, CBB0, CBB1, CBB2, CBB7",199.05,194.45,900,10,2026-03-01 15:09:40.852916,2026-03-01 15:09:40.959774,-41400.000000000204
PAPER-1772357980,SENSEX 05MAR 81200 PE,"NRCB, BB5, BB12, CBB0, CBB1, CBB2, CBB7",199.05,187.5,900,10,2026-03-01 15:09:40.962120,2026-03-01 15:09:41.068205,-103950.0000000001
PAPER-1772357983,SENSEX 05MAR 81200 PE,NRCB,164.5,174.8,900,10,2026-03-01 15:09:43.068675,2026-03-01 15:09:43.392690,92700.0000000001
PAPER-1772357986,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBB8",161.3,151.15,900,10,2026-03-01 15:09:46.324830,2026-03-01 15:09:46.437542,-91350.00000000006
PAPER-1772357986,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBB5, CBB7, CBB8",166.4,165.1,900,10,2026-03-01 15:09:46.550446,2026-03-01 15:09:46.666356,-11700.000000000102
PAPER-1772357986,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBB5, CBB7, CBB8",171.6,166.0,900,10,2026-03-01 15:09:46.668568,2026-03-01 15:09:46.778571,-50399.99999999995
PAPER-1772357987,SENSEX 05MAR 81200 PE,"BB12, BB17, CBB0, CBB2, CBB5, CBB6, CBB7, Green",167.3,157.45,900,10,2026-03-01 15:09:47.445513,2026-03-01 15:09:47.670540,-88650.0000000002
PAPER-1772357987,SENSEX 05MAR 81200 PE,"CBB0, CBB2, CBB5, CBB7",168.75,164.0,900,10,2026-03-01 15:09:47.673144,2026-03-01 15:09:47.785260,-42750.0
PAPER-1772357987,SENSEX 05MAR 81200 PE,"CBB0, CBB2, CBB5, CBB7",168.75,153.2,900,10,2026-03-01 15:09:47.787804,2026-03-01 15:09:47.899904,-139950.00000000012
PAPER-1772357988,SENSEX 05MAR 81200 PE,"CBBR2, CBBR7",153.25,164.8,900,10,2026-03-01 15:09:48.129317,2026-03-01 15:09:48.581134,103950.0000000001
PAPER-1772357991,SENSEX 05MAR 81200 PE,"BB13, Green",152.65,147.7,900,10,2026-03-01 15:09:51.425759,2026-03-01 15:09:51.542078,-44550.00000000015
PAPER-1772357991,SENSEX 05MAR 81200 PE,"BB13, Green",152.65,151.9,900,10,2026-03-01 15:09:51.545645,2026-03-01 15:09:51.779083,-6750.0
